x0,x1,x2,x3,x4,x5,x6,x7,Value,Timestamp
0.07951562,0.99739942,0.39718019,0.57141481,0.91925531,0.05261521,0.02087829,0.41569934,9.838687896728516,2
0.07489204,0.998135,0.78618117,0.19884536,0.95971817,0.03823444,0.0221146,0.18004877,9.809181213378906,3
0.06848964,0.99818041,0.54873185,0.82554132,0.98368856,0.1908942,0.03154862,0.88789652,9.872625350952148,3
0.18499783,0.99653419,0.69156583,0.69315568,0.99006832,0.01103913,0.1277252,0.67603263,9.859109878540039,4
0.10398147,0.99934358,0.59866079,0.06690867,0.97937596,0.07223714,0.00386794,0.43138858,9.833605766296387,4
0.1782429,0.9996656,0.27482696,0.53701871,0.99115809,0.08780263,0.08609591,0.80686125,9.890681266784668,5
0.02532866,0.99759254,0.21661294,0.97233277,0.98957344,0.08489695,0.10472783,0.86366123,9.908291816711426,5
0.02468162,0.99804584,0.32265786,0.67697414,0.99225198,0.16198762,0.0571174,0.40220502,9.779542922973633,6
0.13316711,0.99804568,0.81529493,0.26167634,0.98405613,0.02761829,0.1692473,0.67819816,9.82231616973877,6
0.04361768,0.99679478,0.46599643,0.12522491,0.98135661,0.0096219,0.02376088,0.75293244,9.901518821716309,7
0.02283118,0.99598845,0.30475221,0.39700255,0.95700489,0.04881548,0.09314554,0.23519024,9.812628746032715,7
0.05244001,0.99861447,0.69234997,0.44009407,0.95523019,0.16536915,0.09336762,0.62549326,9.8606538772583,7
0.07266089,0.99984925,0.5101546,0.00303281,0.99912813,0.1204935,0.09278313,0.61569327,9.926767349243164,8
0.10737017,0.99973198,0.39365943,0.41659884,0.91608946,0.08459242,0.0324168,0.54633293,9.88463306427002,8
0.05336201,0.99072601,0.73751646,0.48195398,0.99526251,0.05601611,0.04256868,0.64303125,9.713379859924316,9
0.05215284,0.99807505,0.74939746,0.62364427,0.99161178,0.05636103,0.21928578,0.46400486,9.834722518920898,9
0.09218542,0.9989922,0.85458818,0.35742183,0.98311468,0.0899686,0.07168436,0.49901192,9.759499549865723,10
0.02736463,0.99458176,0.61025784,0.31223567,0.96827679,0.03521676,0.09799266,0.3672909,9.591036796569824,10
0.03482959,0.99808962,0.40501777,0.28419459,0.98430972,0.27760914,0.03857637,0.60477666,9.916061401367188,11
0.17749782,0.99983318,0.4684734,0.64720471,0.97453356,0.01139579,0.22678366,0.6311666,9.86762523651123,11
0.06704572,0.99822656,0.69290693,0.31965341,0.98363886,0.06908672,0.15128676,0.57626085,9.626157760620117,12
0.01395896,0.99465512,0.62951274,0.4736472,0.97069471,0.02900134,0.19711943,0.22863916,9.889899253845215,13
0.09118057,0.99537201,0.25614693,0.67062589,0.96659829,0.01810986,0.01107182,0.38256018,9.769091606140137,13
0.12203301,0.99875589,0.75370854,0.76411259,0.92688499,0.01302759,0.00796915,0.51191496,9.907559394836426,14
0.08012108,0.99716149,0.3764852,0.56053324,0.91999533,0.00895154,0.08399633,0.6842852,9.931251525878906,14
0.00987967,0.99575143,0.16789304,0.55503753,0.99020762,0.0460691,0.21641526,0.62052991,9.878914833068848,15
0.00605094,0.99723065,0.34008144,0.24706258,0.90995278,0.01752703,0.15386669,0.31526045,9.926064491271973,15
0.00845949,0.99896551,0.8833129,0.09808678,0.92528102,0.07820303,0.04414221,0.64556327,9.877259254455566,16
0.03640254,0.99447246,0.34344982,0.83716096,0.99971677,0.1433287,0.06506048,0.52110439,9.883760452270508,16
0.03662634,0.99943256,0.55167266,0.14627077,0.9321354,0.06620822,0.11845278,0.21954689,9.891231536865234,17
0.00390367,0.9958979,0.26932654,0.42240891,0.93096484,0.10154431,0.01709862,0.33178387,9.90207290649414,17
0.04071907,0.99476414,0.70508783,0.18187921,0.94227062,0.02529161,0.08111479,0.24800164,9.802302360534668,17
0.07600981,0.9914238,0.507809,0.40041075,0.95770296,0.0745796,0.04154697,0.37325252,9.900232315063477,18
0.02112625,0.99226994,0.76364374,0.10879452,0.99059865,0.0564002,0.11874888,0.76765292,9.915666580200195,18
0.00746109,0.99848776,0.49724554,0.58411876,0.98983504,0.36826845,0.04907528,0.91316497,9.821979522705078,19
0.00408642,0.99973602,0.84820387,0.36608846,0.9979501,0.06963126,0.02223177,0.75580414,9.390778541564941,19
0.01052168,0.99992535,0.14316597,0.48434618,0.99577946,0.01062317,0.1319763,0.36109006,9.586231231689453,19
0.25379664,0.99970632,0.28743212,0.94565688,0.99261405,0.00374929,0.05351345,0.48428142,9.912315368652344,20
0.08881029,0.9940705,0.98812852,0.4578968,0.96993175,0.00782197,0.01394911,0.72707895,9.81904125213623,20
0.06312676,0.99756714,0.47570967,0.90913083,0.98059054,0.02602656,0.08931613,0.76132725,9.786523818969727,21
0.03139476,0.99278987,0.43104898,0.42010372,0.96281168,0.05821521,0.02952759,0.24655323,9.778999328613281,21
0.02415429,0.99834208,0.32806968,0.52016273,0.93255022,0.11305258,0.15537594,0.64305256,9.898174285888672,21
0.14760947,0.99382562,0.54336432,0.56460835,0.95314828,0.01377097,0.04246665,0.61724207,9.871794700622559,22
0.14211228,0.99513268,0.67818952,0.70874167,0.95202371,0.0138465,0.06112868,0.62720078,9.91487979888916,22
0.01938741,0.99267002,0.91171381,0.19953828,0.96984633,0.08140421,0.0755252,0.42116355,9.925562858581543,23
0.01775541,0.99555959,0.51749407,0.66342265,0.98992905,0.16317062,0.04599362,0.44748683,9.815555572509766,23
0.01395067,0.99451814,0.44336476,0.25873138,0.95684562,0.14016577,0.01725161,0.40516114,9.871145248413086,24
0.14932703,0.99724229,0.56641828,0.61598391,0.99288949,0.05930446,0.09668466,0.42007256,9.77871322631836,24
0.08682135,0.99612857,0.43047291,0.42676895,0.93875355,0.00307302,0.01148128,0.39931881,9.657840728759766,24
0.10844832,0.99946523,0.73445852,0.37787741,0.96950349,0.00975277,0.00911635,0.11622711,9.70008659362793,25
0.11488204,0.99115255,0.42987985,0.37110271,0.97844756,0.02800219,0.02765635,0.25830501,9.851158142089844,25
0.00221573,0.99717549,0.73437888,0.28276046,0.96693425,0.04085707,0.22921759,0.70113281,9.672664642333984,25
0.02283638,0.9983181,0.69654765,0.97999673,0.97920558,0.00380086,0.10540774,0.78109639,9.793949127197266,26
0.18248319,0.99957892,0.64000997,0.35258579,0.99086724,0.03821951,0.01300559,0.81979356,9.907833099365234,26
0.12082961,0.99670164,0.43938375,0.59745908,0.99337845,0.01493367,0.13724869,0.19341767,9.854959487915039,27
0.0035151,0.99908806,0.31065792,0.55593919,0.94843175,0.03800456,0.02014491,0.56718876,9.579418182373047,27
0.0053913,0.99757168,0.85539073,0.11785625,0.99051066,0.01127039,0.24129901,0.26564734,9.708649635314941,28
0.05030428,0.99682945,0.65656147,0.77661686,0.96204047,0.07023414,0.14400042,0.75477972,9.897109985351562,28
0.04857328,0.99789761,0.63109508,0.2129609,0.95975412,0.12295754,0.08883201,0.37044394,9.866789817810059,29
0.02233156,0.99604657,0.63701896,0.38695157,0.93027583,0.02610866,0.02380094,0.57557163,9.632413864135742,31
0.17512725,0.99602403,0.56321135,0.60864775,0.95260589,0.00541497,0.0716479,0.56313959,9.847915649414062,33
0.04991266,0.99614197,0.58311516,0.4828302,0.96474658,0.09974935,0.22679497,0.70207999,9.898651123046875,34
0.05658707,0.99836913,0.68896612,0.07266717,0.97978305,0.04730893,0.03463387,0.13488647,9.802475929260254,34
0.0106211,0.99903233,0.38733755,0.24848914,0.92985539,0.00678225,0.10433661,0.43887329,9.639315605163574,34
0.00280239,0.99944865,0.84723026,0.60569347,0.99839545,0.29431454,0.03440954,0.86642861,9.901533126831055,35
0.07567908,0.99863138,0.3208014,0.54033975,0.95617837,0.09917209,0.04849985,0.68803162,9.7801513671875,35
0.0194834,0.99694303,0.53327965,0.71067978,0.98464727,0.01180582,0.0056224,0.46945386,9.406484603881836,36
